"SeatIndex","STATE","CONSTITUENCY","NAME","WINNER","PARTY","SYMBOL","GENDER","CRIMINAL.CASES","AGE","CATEGORY","EDUCATION","ASSETS","LIABILITIES","GENERAL.VOTES","POSTAL.VOTES","TOTAL.VOTES","OVER.TOTAL.ELECTORS..IN.CONSTITUENCY","OVER.TOTAL.VOTES.POLLED..IN.CONSTITUENCY","TOTAL.ELECTORS"
383,"NCT OF Delhi","NEW DELHI","MEENAKASHI LEKHI",1,"BJP","Lotus","FEMALE",0,51,"GENERAL","Graduate Professional","Rs 36,14,41,689
 ~ 36 Crore+","Rs 79,38,378
 ~ 79 Lacs+",503157,1049,504206,31.17251015,54.77124424,1617470
384,"Tamil Nadu","NILGIRIS","RAJA, A.",1,"DMK","Rising Sun","MALE",0,55,"SC","Graduate Professional","Rs 4,95,91,024
 ~ 4 Crore+","Rs 14,24,914
 ~ 14 Lacs+",545463,2369,547832,40.10307014,54.18451529,1366060
385,"Telangana","NIZAMABAD","ARVIND DHARMAPURI",1,"BJP","Lotus","MALE",0,43,"GENERAL","Post Graduate","Rs 87,69,30,468
 ~ 87 Crore+","Rs 33,75,80,746
 ~ 33 Crore+",479748,836,480584,30.93785507,45.20242066,1553385
386,"NCT OF Delhi","NORTH EAST DELHI","MANOJ TIWARI",1,"BJP","Lotus","MALE",0,47,"GENERAL","Post Graduate","Rs 24,28,17,031
 ~ 24 Crore+","Rs 1,36,18,755
 ~ 1 Crore+",785262,2537,787799,34.39431354,53.85676598,2290492
387,"Goa","NORTH GOA","SHRIPAD YESSO NAIK",1,"BJP","Lotus","MALE",0,66,"GENERAL","Graduate","Rs 6,57,95,623
 ~ 6 Crore+","Rs 14,91,387
 ~ 14 Lacs+",244034,810,244844,43.97649979,57.07239526,556761
388,"NCT OF Delhi","NORTH WEST DELHI","HANS RAJ HANS",1,"BJP","Lotus","MALE",0,57,"SC","10th Pass","Rs 13,09,37,732
 ~ 13 Crore+","Rs 4,78,97,494
 ~ 4 Crore+",847737,926,848663,35.67317292,60.48976968,2378995
389,"Assam","NOWGONG","Pradyut Bordoloi",1,"INC","Hand","MALE",0,59,"GENERAL","Post Graduate","Rs 7,41,43,272
 ~ 7 Crore+","Rs 40,11,152
 ~ 40 Lacs+",738881,843,739724,41.21833362,49.52544951,1794648
390,"Andhra Pradesh","ONGOLE","MAGUNTA SREENIVASULU REDDY",1,"YSRCP","Ceiling Fan","MALE",0,65,"GENERAL","Graduate","Rs 26,65,83,686
 ~ 26 Crore+","Rs 9,13,02,133
 ~ 9 Crore+",729344,9858,739202,47.49224045,55.00002604,1556469
391,"Maharashtra","OSMANABAD","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar",1,"SHS","Bow and Arrow","MALE",0,35,"GENERAL","12th Pass","Rs 5,02,99,295
 ~ 5 Crore+","Rs 1,00,45,858
 ~ 1 Crore+",591605,5035,596640,31.57259729,49.52059706,1889740
392,"Manipur","OUTER MANIPUR","Lorho S. Pfoze",1,"NPF","Cock","MALE",0,59,"ST","Graduate Professional","Rs 1,37,09,352
 ~ 1 Crore+","Rs 0
 ~",362707,820,363527,35.56671125,42.27082716,1022099
393,"Kerala","PALAKKAD","V K SREEKANDAN",1,"INC","Hand","MALE",0,49,"GENERAL","Graduate","Rs 63,56,399
 ~ 63 Lacs+","Rs 27,09,000
 ~ 27 Lacs+",398714,560,399274,30.17921255,38.80688986,1323010
394,"Jharkhand","PALAMAU","VISHNU DAYAL RAM",1,"BJP","Lotus","MALE",0,68,"SC","Graduate","Rs 3,22,73,873
 ~ 3 Crore+","Rs 90,922
 ~ 90 Thou+",753240,2419,755659,40.1638425,62.42917783,1881441
395,"Maharashtra","PALGHAR","Rajendra Dhedya Gavit",1,"SHS","Bow and Arrow","MALE",0,51,"ST","Graduate","Rs 8,76,16,920
 ~ 8 Crore+","Rs 3,02,23,375
 ~ 3 Crore+",579989,490,580479,30.78484302,48.28484849,1885600
396,"Rajasthan","PALI","P. P. CHAUDHARY",1,"BJP","Lotus","MALE",0,65,"GENERAL","Graduate Professional","Rs 38,51,11,923
 ~ 38 Crore+","Rs 72,78,041
 ~ 72 Lacs+",890817,9332,900149,41.64150471,66.11377767,2161663
397,"Gujarat","PANCHMAHAL","Ratansinh Magansinh Rathod",1,"BJP","Lotus","MALE",0,59,"GENERAL","Graduate Professional","Rs 1,02,60,663
 ~ 1 Crore+","Rs 10,81,611
 ~ 10 Lacs+",727301,4835,732136,41.96194094,67.43334825,1744762
398,"Maharashtra","PARBHANI","JADHAV SANJAY (BANDU) HARIBHAU",1,"SHS","Bow and Arrow","MALE",0,52,"GENERAL","10th Pass","Rs 4,10,40,011
 ~ 4 Crore+","Rs 45,19,583
 ~ 45 Lacs+",538214,727,538941,27.14756189,43.0088932,1985228
399,"Bihar","PASCHIM CHAMPARAN","DR. SANJAY JAISWAL",1,"BJP","Lotus","MALE",0,54,"GENERAL","Post Graduate","Rs 19,94,04,885
 ~ 19 Crore+","Rs 6,73,70,030
 ~ 6 Crore+",600735,2971,603706,36.95049161,59.57391799,1633824
400,"Bihar","PATALIPUTRA","RAM KRIPAL YADAV",1,"BJP","Lotus","MALE",0,58,"GENERAL","Graduate","Rs 2,92,13,467
 ~ 2 Crore+","Rs 17,17,310
 ~ 17 Lacs+",506557,3000,509557,26.46390846,47.23329153,1925479
401,"Gujarat","PATAN","DABHI BHARATSINHJI SHANKARJI",1,"BJP","Lotus","MALE",0,64,"GENERAL","Graduate","Rs 4,73,73,221
 ~ 4 Crore+","Rs 56,13,860
 ~ 56 Lacs+",629813,3555,633368,35.04996837,56.12889561,1807043
402,"Kerala","PATHANAMTHITTA","ANTO ANTONY",1,"INC","Hand","MALE",0,62,"GENERAL","Graduate","Rs 60,75,876
 ~ 60 Lacs+","Rs 77,23,227
 ~ 77 Lacs+",380089,838,380927,27.54868772,37.07758975,1382741
403,"Punjab","PATIALA","Preneet Kaur",1,"INC","Hand","FEMALE",0,74,"GENERAL","Graduate","Rs 63,59,73,757
 ~ 63 Crore+","Rs 4,24,53,369
 ~ 4 Crore+",531178,849,532027,30.58329501,45.13113237,1739600
404,"Bihar","PATNA SAHIB","RAVI SHANKAR PRASAD",1,"BJP","Lotus","MALE",0,64,"GENERAL","Post Graduate","Rs 23,52,75,591
 ~ 23 Crore+","Rs 0
 ~",604956,2550,607506,28.30865495,61.80505606,2146008
405,"Telangana","PEDDAPALLE","Venkatesh Netha Borlakunta",1,"TRS","Car","MALE",0,42,"SC","Doctorate","Rs 1,65,97,300
 ~ 1 Crore+","Rs 0
 ~",441007,314,441321,29.83731224,45.48927244,1479091
406,"Tamil Nadu","PERAMBALUR","Dr.PAARIVENDHAR, T. R",1,"DMK","Rising Sun","MALE",0,77,"GENERAL","Post Graduate","Rs 97,27,30,368
 ~ 97 Crore+","Rs 6,59,35,070
 ~ 6 Crore+",677005,6692,683697,49.12135118,61.97623192,1391853
407,"Uttar Pradesh","PHULPUR","Keshari Devi Patel",1,"BJP","Lotus","FEMALE",0,62,"GENERAL","Post Graduate","Rs 17,27,07,104
 ~ 17 Crore+","Rs 65,05,194
 ~ 65 Lacs+",542398,2303,544701,27.09312268,55.63413296,2010477
408,"Uttar Pradesh","PILIBHIT","Feroze Varun Gandhi",1,"BJP","Lotus","MALE",0,39,"GENERAL","Post Graduate","Rs 60,32,00,539
 ~ 60 Crore+","Rs 2,89,52,800
 ~ 2 Crore+",702755,1794,704549,40.00375879,59.34418497,1761207
409,"Tamil Nadu","POLLACHI","SHANMUGA SUNDARAM. K",1,"DMK","Rising Sun","MALE",0,49,"GENERAL","Graduate Professional","Rs 13,31,09,284
 ~ 13 Crore+","Rs 1,33,60,639
 ~ 1 Crore+",550905,3325,554230,36.45041381,51.22803839,1520504
410,"Kerala","PONNANI","E. T. Mohammed Basheer",1,"IUML","Ladder","MALE",0,72,"GENERAL","10th Pass","Rs 81,03,274
 ~ 81 Lacs+","Rs 0
 ~",521438,386,521824,38.45982062,51.29166888,1356803
411,"Gujarat","PORBANDAR","RAMESHBHAI LAVJIBHAI DHADUK",1,"BJP","Lotus","MALE",0,57,"GENERAL","10th Pass","Rs 35,75,64,783
 ~ 35 Crore+","Rs 21,79,44,697
 ~ 21 Crore+",560011,3870,563881,33.92034736,59.28681,1662368
412,"Uttar Pradesh","PRATAPGARH","SANGAM LAL GUPTA",1,"BJP","Lotus","MALE",0,48,"GENERAL","8th Pass","Rs 24,87,89,514
 ~ 24 Crore+","Rs 88,95,225
 ~ 88 Lacs+",434222,2069,436291,25.53262338,47.66858343,1708759
413,"Puducherry","PUDUCHERRY","Ve. VAITHILINGAM",1,"INC","Hand","MALE",0,68,"GENERAL","Graduate","Rs 10,80,15,548
 ~ 10 Crore+","Rs 5,20,989
 ~ 5 Lacs+",444646,335,444981,45.7136253,56.2629679,973410
414,"Maharashtra","PUNE","Girish Bhalchandra Bapat",1,"BJP","Lotus","MALE",0,68,"GENERAL","Graduate","Rs 5,79,59,302
 ~ 5 Crore+","Rs 17,93,891
 ~ 17 Lacs+",631875,960,632835,30.48596605,61.10486707,2075824
415,"Odisha","PURI","PINAKI MISRA",1,"BJD","Conch","MALE",0,59,"GENERAL","Graduate Professional","Rs 1,17,47,01,344
 ~ 117 Crore+","Rs 2,19,32,742
 ~ 2 Crore+",537782,539,538321,34.45627079,47.38223997,1562331
416,"Bihar","PURNIA","SANTOSH KUMAR",1,"JD(U)","Arrow","MALE",0,43,"GENERAL","12th Pass","Rs 4,10,36,294
 ~ 4 Crore+","Rs 25,00,000
 ~ 25 Lacs+",632435,489,632924,35.85337889,54.84662332,1765312
417,"West Bengal","PURULIA","JYOTIRMAY SINGH MAHATO",1,"BJP","Lotus","MALE",0,34,"GENERAL","Graduate Professional","Rs 22,50,540
 ~ 22 Lacs+","Rs 4,56,100
 ~ 4 Lacs+",666016,2091,668107,40.5925934,49.27547883,1645884
418,"Bihar","PURVI CHAMPARAN","RADHA MOHAN SINGH",1,"BJP","Lotus","MALE",0,69,"GENERAL","Graduate","Rs 3,37,91,375
 ~ 3 Crore+","Rs 11,46,627
 ~ 11 Lacs+",574081,3706,577787,34.83431323,57.77090093,1658672
419,"Uttar Pradesh","RAE BARELI","SONIA GANDHI",1,"INC","Hand","FEMALE",0,72,"GENERAL","Others","Rs 11,82,63,916
 ~ 11 Crore+","Rs 0
 ~",533687,1231,534918,31.42421081,55.77744828,1702248
420,"Karnataka","RAICHUR","RAJA AMARESHWARA NAIK",1,"BJP","Lotus","MALE",0,62,"ST","Graduate Professional","Rs 3,06,38,375
 ~ 3 Crore+","Rs 6,78,532
 ~ 6 Lacs+",596804,1533,598337,31.03079342,53.18730766,1928204
421,"Maharashtra","RAIGAD","Tatkare Sunil Dattatray",1,"NCP","Clock","MALE",0,64,"GENERAL","Others","Rs 12,74,87,277
 ~ 12 Crore+","Rs 32,21,073
 ~ 32 Lacs+",484563,2405,486968,29.4602729,47.38965125,1652965
422,"West Bengal","RAIGANJ","DEBASREE CHAUDHURI",1,"BJP","Lotus","FEMALE",0,48,"GENERAL","Post Graduate","Rs 61,39,123
 ~ 61 Lacs+","Rs 8,23,416
 ~ 8 Lacs+",509862,1790,511652,31.95388516,40.03298708,1601220
423,"Chhattisgarh","RAIGARH","GOMATI SAI",1,"BJP","Lotus","FEMALE",0,43,"ST","12th Pass","Rs 70,43,539
 ~ 70 Lacs+","Rs 0
 ~",656939,1396,658335,37.97053302,48.73880337,1733805
424,"Chhattisgarh","RAIPUR","Sunil Kumar Soni",1,"BJP","Lotus","MALE",0,57,"GENERAL","Graduate","Rs 4,60,68,126
 ~ 4 Crore+","Rs 24,82,214
 ~ 24 Lacs+",836211,1691,837902,39.67831237,59.97257258,2111738
425,"Andhra Pradesh","RAJAHMUNDRY","MARGANI BHARAT",1,"YSRCP","Ceiling Fan","MALE",0,36,"GENERAL","Graduate","Rs 45,82,05,360
 ~ 45 Crore+","Rs 1,78,14,757
 ~ 1 Crore+",578471,3553,582024,37.93525983,46.54374932,1534256
426,"Andhra Pradesh","RAJAMPET","P.V.MIDHUN REDDY",1,"YSRCP","Ceiling Fan","MALE",0,42,"GENERAL","Post Graduate","Rs 66,50,85,701
 ~ 66 Crore+","Rs 20,54,73,477
 ~ 20 Crore+",695277,6934,702211,45.39360983,57.26949024,1546938
427,"Madhya Pradesh","RAJGARH","RODMAL NAGAR",1,"BJP","Lotus","MALE",0,58,"GENERAL","Graduate","Rs 4,01,98,295
 ~ 4 Crore+","Rs 39,21,362
 ~ 39 Lacs+",822225,1599,823824,48.62243401,65.33463396,1694329
428,"Gujarat","RAJKOT","KUNDARIA MOHANBHAI KALYANJIBHAI",1,"BJP","Lotus","MALE",0,67,"GENERAL","8th Pass","Rs 6,88,18,120
 ~ 6 Crore+","Rs 1,65,66,856
 ~ 1 Crore+",755296,3349,758645,40.26053698,63.41594918,1884339
429,"Jharkhand","RAJMAHAL","VIJAY KUMAR HANSDAK",1,"JMM","Bow & Arrow","MALE",0,36,"ST","10th Pass","Rs 1,29,19,555
 ~ 1 Crore+","Rs 27,43,560
 ~ 27 Lacs+",506589,1241,507830,34.91593992,48.46385896,1454436
430,"Chhattisgarh","RAJNANDGAON","SANTOSH PANDEY",1,"BJP","Lotus","MALE",0,51,"GENERAL","Graduate Professional","Rs 2,48,61,970
 ~ 2 Crore+","Rs 15,19,820
 ~ 15 Lacs+",660956,1431,662387,38.59031879,50.64593181,1716459
431,"Rajasthan","RAJSAMAND","Diya Kumari",1,"BJP","Lotus","FEMALE",0,48,"GENERAL","Others","Rs 16,59,84,623
 ~ 16 Crore+","Rs 0
 ~",858690,4349,863039,45.11652659,69.55235452,1912911
432,"Tamil Nadu","RAMANATHAPURAM","K. NAVASKANI",1,"IUML","Ladder","MALE",0,39,"GENERAL","12th Pass","Rs 36,47,38,171
 ~ 36 Crore+","Rs 4,70,08,615
 ~ 4 Crore+",467585,2358,469943,30.12957288,44.04657131,1559740
433,"Uttar Pradesh","RAMPUR","Mohammad Azam Khan",1,"SP","Bicycle","MALE",0,64,"GENERAL","Graduate Professional","Rs 4,61,24,814
 ~ 4 Crore+","Rs 0
 ~",559018,159,559177,33.2941353,52.69100805,1679506
434,"Maharashtra","RAMTEK","Krupal Balaji Tumane",1,"SHS","Bow and Arrow","MALE",0,53,"SC","Graduate","Rs 9,56,03,165
 ~ 9 Crore+","Rs 42,28,793
 ~ 42 Lacs+",594827,2299,597126,31.05560537,49.85168704,1922764
